voltage,temp,rel time,abs time,volt dif,ppm
10.59639,33.273926,216.048,44:02.8,-0.00001,-5.096
10.59639,33.193359,217.21,44:04.0,-0.00001,-5.002
10.59639,33.193359,218.371,44:05.1,-0.00001,-6.040
10.59639,33.354492,219.534,44:06.3,-0.00001,-5.002
10.59639,33.354492,220.697,44:07.5,0.00000,-2.076
10.59639,33.273926,221.872,44:08.6,0.00000,-2.076
10.59639,33.273926,223.041,44:09.8,0.00000,-3.020
10.59639,33.273926,224.204,44:11.0,0.00000,-3.020
10.59639,33.112793,225.367,44:12.1,0.00000,-3.680
10.59639,33.273926,226.528,44:13.3,0.00000,-3.020
10.59639,33.193359,227.692,44:14.5,-0.00001,-5.190
10.59639,33.435059,228.853,44:15.6,0.00000,-3.114
10.59639,33.193359,230.016,44:16.8,0.00000,-2.926
10.59639,33.193359,231.178,44:17.9,0.00000,-3.303
10.59639,33.193359,232.34,44:19.1,0.00000,-3.775
10.59639,33.273926,233.503,44:20.3,-0.00001,-4.813
10.59639,33.515625,234.666,44:21.4,-0.00001,-6.323
10.59639,33.273926,235.827,44:22.6,-0.00001,-7.455
10.59639,33.435059,236.99,44:23.7,-0.00001,-7.455
10.59639,33.354492,238.153,44:24.9,-0.00001,-6.984
10.59639,33.515625,239.316,44:26.1,-0.00001,-5.002
10.59639,33.273926,240.479,44:27.2,0.00000,-3.492
10.59639,33.354492,241.64,44:28.4,0.00000,-3.397
10.59639,33.354492,242.803,44:29.6,0.00000,-3.020
10.59639,33.193359,243.965,44:30.7,0.00000,-4.435
10.59639,33.354492,245.128,44:31.9,-0.00001,-5.662
10.59639,33.596191,246.301,44:33.1,-0.00001,-4.907
10.59639,33.354492,247.463,44:34.2,-0.00001,-6.417
10.59639,33.273926,248.624,44:35.4,-0.00001,-7.550
10.59639,33.515625,249.787,44:36.5,-0.00001,-7.738
10.59638,33.273926,250.949,44:37.7,-0.00001,-8.399
10.59638,33.193359,252.112,44:38.9,-0.00001,-8.682
10.59639,33.273926,253.274,44:40.0,-0.00001,-7.078
10.59639,32.95166,254.437,44:41.2,-0.00001,-6.323
10.59639,33.515625,255.6,44:42.4,-0.00001,-5.757
10.59639,32.95166,256.762,44:43.5,-0.00001,-7.550
10.59638,33.515625,257.935,44:44.7,-0.00001,-8.399
10.59638,33.273926,259.096,44:45.9,-0.00001,-10.475
10.59638,33.193359,260.259,44:47.0,-0.00001,-9.343
10.59638,33.354492,261.421,44:48.2,-0.00001,-8.399
10.59639,33.273926,262.584,44:49.3,-0.00001,-7.455
10.59639,33.435059,263.746,44:50.5,-0.00001,-5.474
10.59639,33.193359,264.909,44:51.7,-0.00001,-8.116
10.59639,33.515625,266.071,44:52.8,-0.00001,-7.927
10.59639,33.354492,267.235,44:54.0,-0.00001,-8.116
10.59638,33.354492,268.395,44:55.2,-0.00001,-9.248
10.59638,33.032227,269.559,44:56.3,-0.00001,-9.437
10.59639,33.273926,270.721,44:57.5,-0.00001,-7.455
10.59639,33.273926,271.885,44:58.6,-0.00001,-6.889
10.59639,33.193359,273.056,44:59.8,-0.00001,-7.833
10.59639,33.354492,274.217,45:01.0,-0.00001,-8.116
10.59639,33.193359,275.38,45:02.1,-0.00001,-7.455
10.59638,33.273926,276.543,45:03.3,-0.00001,-8.588
10.59639,33.596191,277.706,45:04.5,-0.00001,-7.361
10.59639,33.273926,278.868,45:05.6,-0.00001,-7.833
10.59639,33.354492,280.03,45:06.8,-0.00001,-6.700
10.59639,33.032227,281.193,45:08.0,-0.00001,-5.474
10.59639,33.354492,282.356,45:09.1,-0.00001,-5.757
10.59639,33.273926,283.518,45:10.3,-0.00001,-5.662
10.59639,33.354492,284.681,45:11.4,-0.00001,-6.229
10.59639,33.273926,285.843,45:12.6,-0.00001,-5.096
10.59639,33.354492,287.004,45:13.8,-0.00001,-6.040
10.59639,32.95166,288.167,45:14.9,-0.00001,-6.889
10.59638,33.354492,289.331,45:16.1,-0.00001,-8.305
10.59638,33.193359,290.494,45:17.3,-0.00001,-8.493
10.59639,33.273926,291.655,45:18.4,-0.00001,-7.267
10.59639,33.515625,292.818,45:19.6,-0.00001,-8.116
10.59639,33.193359,293.98,45:20.7,-0.00001,-7.361
10.59639,33.354492,295.143,45:21.9,-0.00001,-6.795
10.59639,33.112793,296.306,45:23.1,-0.00001,-6.606
10.59639,33.193359,297.479,45:24.2,-0.00001,-7.833
10.59639,33.596191,298.65,45:25.4,-0.00001,-6.889
10.59639,33.354492,299.812,45:26.6,-0.00001,-7.078
10.59639,33.354492,300.974,45:27.7,-0.00001,-7.078
10.59639,33.273926,302.136,45:28.9,-0.00001,-7.361
10.59638,33.515625,303.301,45:30.1,-0.00001,-9.437
10.59639,33.354492,304.472,45:31.2,-0.00001,-7.550
10.59639,33.273926,305.634,45:32.4,-0.00001,-6.889
10.59639,33.435059,306.797,45:33.6,-0.00001,-6.323
10.59639,33.193359,307.959,45:34.7,-0.00001,-5.285
10.59639,33.354492,309.122,45:35.9,-0.00001,-6.984
10.59639,33.193359,310.286,45:37.0,-0.00001,-7.550
10.59638,33.273926,311.457,45:38.2,-0.00001,-8.493
10.59639,33.273926,312.619,45:39.4,-0.00001,-7.927
10.59639,33.273926,313.782,45:40.5,-0.00001,-6.795
10.59639,33.273926,314.944,45:41.7,-0.00001,-6.984
10.59639,32.709961,316.107,45:42.9,-0.00001,-5.474
10.59639,33.193359,317.269,45:44.0,-0.00001,-5.096
10.59639,33.354492,318.432,45:45.2,-0.00001,-5.096
10.59639,33.273926,319.593,45:46.4,-0.00001,-6.984
10.59639,33.193359,320.756,45:47.5,-0.00001,-6.795
10.59639,33.273926,321.919,45:48.7,-0.00001,-6.984
10.59639,33.273926,323.081,45:49.8,-0.00001,-5.945
10.59639,33.193359,324.245,45:51.0,-0.00001,-6.700
10.59639,33.515625,325.407,45:52.2,-0.00001,-5.568
10.59639,33.273926,326.568,45:53.3,0.00000,-4.341
10.59639,33.273926,327.731,45:54.5,0.00000,-4.247
10.59639,33.112793,328.893,45:55.7,-0.00001,-6.323
10.59639,33.273926,330.057,45:56.8,-0.00001,-6.417
10.59639,33.273926,331.219,45:58.0,-0.00001,-6.700
10.59639,33.112793,332.381,45:59.1,-0.00001,-6.606
10.59639,33.273926,333.543,46:00.3,-0.00001,-6.984
10.59639,33.273926,334.706,46:01.5,-0.00001,-7.644
10.59639,33.354492,335.881,46:02.6,-0.00001,-6.606
10.59639,33.273926,337.051,46:03.8,-0.00001,-5.851
10.59576,32.95166,338.214,46:05.0,-0.00063,-598.883
10.59639,33.273926,339.376,46:06.1,-0.00001,-5.096
10.59639,33.354492,340.538,46:07.3,0.00000,-4.624
10.59639,32.95166,341.703,46:08.5,-0.00001,-4.719
10.59639,33.273926,342.864,46:09.6,-0.00001,-4.719
10.59639,32.790527,344.027,46:10.8,-0.00001,-5.662
10.59639,34.240723,345.189,46:11.9,-0.00001,-5.379
10.59639,33.112793,346.351,46:13.1,-0.00001,-5.945
10.59639,33.273926,347.515,46:14.3,-0.00001,-6.417
10.59639,33.032227,348.687,46:15.4,-0.00001,-5.662
10.59639,33.435059,349.848,46:16.6,-0.00001,-7.361
10.59639,32.95166,351.012,46:17.8,-0.00001,-6.795
10.59639,34.240723,352.174,46:18.9,-0.00001,-6.040
10.59639,33.273926,353.338,46:20.1,0.00000,-4.624
10.59639,33.273926,354.511,46:21.3,0.00000,-4.624
10.59639,33.273926,355.682,46:22.4,-0.00001,-5.757
10.59639,33.193359,356.845,46:23.6,-0.00001,-5.096
10.59639,32.871094,358.006,46:24.8,-0.00001,-5.096
10.59639,33.515625,359.169,46:25.9,-0.00001,-4.719
10.59639,32.95166,360.343,46:27.1,0.00000,-1.887
10.59639,33.273926,361.516,46:28.3,0.00000,-1.510
10.59639,33.354492,362.687,46:29.4,0.00000,-1.887
10.59639,33.273926,363.848,46:30.6,0.00000,-2.548
10.59639,33.112793,365.011,46:31.8,0.00000,-1.982
10.59639,33.193359,366.174,46:32.9,0.00000,-3.680
10.59639,33.273926,367.338,46:34.1,0.00000,-4.435
10.59639,33.193359,368.51,46:35.3,0.00000,-3.303
