pwmcount, residuebefore, residueafter,diff,scaling
5,2117,1525,-592,-1.58952
5,1566,1703,137,0.367845
5,1743,1885,142,0.38127
5,1932,1763,-169,-0.453765
5,1803,1891,88,0.23628
5,1936,1922,-14,-0.03759
5,1965,1891,-74,-0.19869
5,1936,2126,190,0.51015
5,2170,2149,-21,-0.056385
5,2193,2121,-72,-0.19332
5,2165,2148,-17,-0.045645
5,2191,1965,-226,-0.60681
5,2007,1998,-9,-0.024165
5,2041,1871,-170,-0.45645
5,1915,2112,197,0.528945
5,2156,2151,-5,-0.013425
5,2194,1855,-339,-0.910215
5,1901,1887,-14,-0.03759
5,1932,1543,-389,-1.044465
5,1583,1923,340,0.9129
5,1968,2045,77,0.206745
5,2088,1867,-221,-0.593385
5,1910,2156,246,0.66051
5,2200,1759,-441,-1.184085
5,1802,1735,-67,-0.179895
5,1775,2276,501,1.345185
5,2319,1670,-649,-1.742565
5,1712,1755,43,0.115455
5,1796,2051,255,0.684675
5,2094,1819,-275,-0.738375
5,1859,1903,44,0.11814
5,1948,2088,140,0.3759
5,2133,2009,-124,-0.33294
5,2047,2249,202,0.54237
5,2291,1897,-394,-1.05789
5,1944,1976,32,0.08592
5,2016,1737,-279,-0.749115
5,1779,1503,-276,-0.74106
5,1546,1739,193,0.518205
5,1779,2235,456,1.22436
5,2278,1685,-593,-1.592205
5,1726,2022,296,0.79476
5,2063,1996,-67,-0.179895
5,2038,1699,-339,-0.910215
5,1741,2001,260,0.6981
5,2045,1980,-65,-0.174525
5,2022,1950,-72,-0.19332
5,1991,2025,34,0.09129
5,2068,1639,-429,-1.151865
5,1682,1984,302,0.81087
5,2024,2107,83,0.222855
5,2150,2235,85,0.228225
5,2279,1687,-592,-1.58952
5,1728,2333,605,1.624425
5,2375,2150,-225,-0.604125
5,2194,2128,-66,-0.17721
5,2172,2146,-26,-0.06981
5,2190,1750,-440,-1.1814
5,1792,1675,-117,-0.314145
5,1714,1957,243,0.652455
5,1998,1723,-275,-0.738375
5,1764,2265,501,1.345185
5,2303,1511,-792,-2.12652
5,1552,1799,247,0.663195
5,1843,1871,28,0.07518
5,1913,1485,-428,-1.14918
5,1526,1675,149,0.400065
5,1715,2175,460,1.2351
5,2217,2039,-178,-0.47793
5,2081,2063,-18,-0.04833
5,2103,2236,133,0.357105
5,2279,2160,-119,-0.319515
5,2203,1559,-644,-1.72914
5,1603,1495,-108,-0.28998
5,1537,1887,350,0.93975
5,1936,1807,-129,-0.346365
5,1847,2255,408,1.09548
5,2299,2274,-25,-0.067125
5,2318,1986,-332,-0.89142
5,2028,2116,88,0.23628
5,2159,1631,-528,-1.41768
5,1674,1663,-11,-0.029535
5,1705,1845,140,0.3759
5,1887,1827,-60,-0.1611
5,1868,2160,292,0.78402
5,2203,1973,-230,-0.61755
5,2014,1955,-59,-0.158415
5,1999,1514,-485,-1.302225
5,1555,1647,92,0.24702
5,1691,2144,453,1.216305
5,2189,1641,-548,-1.47138
5,1683,2243,560,1.5036
5,2287,2374,87,0.233595
5,2418,1875,-543,-1.457955
5,1917,2065,148,0.39738
5,2108,1671,-437,-1.173345
5,1712,1499,-213,-0.571905
5,1541,1727,186,0.49941
5,1769,1755,-14,-0.03759
5,1795,1885,90,0.24165
5,1930,2017,87,0.233595
5,2059,1479,-580,-1.5573
5,1521,1455,-66,-0.17721
5,1498,2168,670,1.79895
5,2207,2143,-64,-0.17184
5,2186,1743,-443,-1.189455
5,1784,1671,-113,-0.303405
5,1713,1853,140,0.3759
5,1895,1934,39,0.104715
5,1975,1743,-232,-0.62292
5,1787,1619,-168,-0.45108
5,1660,1859,199,0.534315
5,1901,1470,-431,-1.157235
5,1513,1799,286,0.76791
5,1839,1774,-65,-0.174525
5,1815,2063,248,0.66588
5,2107,1983,-124,-0.33294
5,2022,1745,-277,-0.743745
5,1788,1819,31,0.083235
5,1861,2319,458,1.22973
5,2361,2188,-173,-0.464505
5,2232,1791,-441,-1.184085
5,1833,1675,-158,-0.42423
5,1716,1854,138,0.37053
5,1893,1827,-66,-0.17721
5,1868,2121,253,0.679305
5,2164,1992,-172,-0.46182
5,2033,2230,197,0.528945
5,2271,1988,-283,-0.759855
5,2030,2168,138,0.37053
5,2211,2090,-121,-0.324885
5,2131,2019,-112,-0.30072
5,2063,1993,-70,-0.18795
5,2035,1803,-232,-0.62292
5,1845,1827,-18,-0.04833
5,1869,1708,-161,-0.432285
5,1748,1989,241,0.647085
5,2030,2178,148,0.39738
5,2220,2099,-121,-0.324885
5,2143,1711,-432,-1.15992
5,1751,1483,-268,-0.71958
5,1527,1577,50,0.13425
5,1619,1599,-20,-0.0537
5,1641,2102,461,1.237785
5,2143,2123,-20,-0.0537
5,2167,1942,-225,-0.604125
5,1983,2232,249,0.668565
5,2275,1526,-749,-2.011065
5,1569,1715,146,0.39201
5,1757,1705,-52,-0.13962
5,1745,2206,461,1.237785
5,2249,2082,-167,-0.448395
5,2125,1957,-168,-0.45108
5,1998,1670,-328,-0.88068
5,1711,1703,-8,-0.02148
5,1744,1895,151,0.405435
5,1938,1932,-6,-0.01611
5,1975,1970,-5,-0.013425
5,2011,1741,-270,-0.72495
5,1783,1935,152,0.40812
5,1975,2383,408,1.09548
5,2427,2101,-326,-0.87531
5,2146,1971,-175,-0.469875
5,2012,1944,-68,-0.18258
5,1986,1759,-227,-0.609495
5,1801,1583,-218,-0.58533
5,1629,2246,617,1.656645
5,2291,1801,-490,-1.31565
5,1842,1940,98,0.26313
5,1980,2030,50,0.13425
5,2071,2007,-64,-0.17184
5,2047,2041,-6,-0.01611
5,2083,1503,-580,-1.5573
5,1545,2003,458,1.22973
5,2046,2143,97,0.260445
5,2185,2014,-171,-0.459135
5,2056,1685,-371,-0.996135
5,1727,1663,-64,-0.17184
5,1709,1751,42,0.11277
5,1793,1881,88,0.23628
5,1928,2220,292,0.78402
5,2263,2295,32,0.08592
5,2339,2212,-127,-0.340995
5,2257,1928,-329,-0.883365
5,1969,1538,-431,-1.157235
5,1581,1998,417,1.119645
5,2041,2028,-13,-0.034905
5,2071,1591,-480,-1.2888
5,1634,1942,308,0.82698
5,1983,1503,-480,-1.2888
5,1545,2217,672,1.80432
5,2261,2197,-64,-0.17184
5,2239,2032,-207,-0.555795
5,2075,1895,-180,-0.4833
5,1940,1875,-65,-0.174525
5,1917,2178,261,0.700785
5,2223,2002,-221,-0.593385
5,2047,2031,-16,-0.04296
5,2072,2274,202,0.54237
5,2318,2151,-167,-0.448395
5,2195,1667,-528,-1.41768
5,1709,1903,194,0.52089
5,1952,1879,-73,-0.196005
5,1921,1909,-12,-0.03222
5,1952,1941,-11,-0.029535
5,1982,2183,201,0.539685
5,2227,1739,-488,-1.31028
5,1780,2038,258,0.69273
5,2079,1539,-540,-1.4499
5,1579,2047,468,1.25658
5,2094,1823,-271,-0.727635
5,1865,2224,359,0.963915
5,2266,2362,96,0.25776
5,2405,2296,-109,-0.292665
5,2339,1855,-484,-1.29954
5,1896,1845,-51,-0.136935
5,1885,2040,155,0.416175
5,2082,1805,-277,-0.743745
5,1847,2303,456,1.22436
5,2349,2127,-222,-0.59607
5,2172,2062,-110,-0.29535
5,2106,2196,90,0.24165
5,2239,1597,-642,-1.72377
5,1639,1687,48,0.12888
5,1728,2080,352,0.94512
5,2124,1493,-631,-1.694235
5,1536,1996,460,1.2351
5,2039,1609,-430,-1.15455
5,1652,1799,147,0.394695
5,1839,1475,-364,-0.97734
5,1517,1939,422,1.13307
5,1980,2024,44,0.11814
5,2064,2004,-60,-0.1611
5,2047,2288,241,0.647085
5,2333,1739,-594,-1.59489
