pwmcount, residuebefore, residueafter,diff
5,1882,2080,198
5,2128,2162,34
5,2210,1690,-520
5,1724,2327,603
5,2372,1913,-459
5,1933,1592,-341
5,1627,1935,308
5,1982,1781,-201
5,1816,1721,-95
5,1755,1870,115
5,1905,2004,99
5,2051,1797,-254
5,1833,2135,302
5,2182,1698,-484
5,1732,2232,500
5,2280,2048,-232
5,2094,1579,-515
5,1614,2131,517
5,2179,1557,-622
5,1591,2306,715
5,2354,2344,-10
5,2391,2176,-215
5,2222,1814,-408
5,1847,1851,4
5,1886,2041,155
5,2088,1914,-174
5,1959,2011,52
5,2057,2053,-4
5,2098,2038,-60
5,2083,1977,-106
5,2021,1506,-515
5,1543,2062,519
5,2110,1952,-158
5,1997,1980,-17
5,2027,1620,-407
5,1655,1910,255
5,1929,1685,-244
5,1719,1932,213
5,1977,1669,-308
5,1703,1975,272
5,2022,2217,195
5,2263,1629,-634
5,1665,2135,470
5,2181,1957,-224
5,2003,1533,-470
5,1569,1952,383
5,1997,1535,-462
5,1572,1769,197
5,1803,2057,254
5,2104,2220,116
5,2265,2056,-209
5,2102,2026,-76
5,2073,2121,48
5,2167,2085,-82
5,2133,1875,-258
5,1907,2250,343
5,2297,1620,-677
5,1656,1531,-125
5,1567,1881,314
5,1915,1727,-188
5,1763,2210,447
5,2257,2244,-13
5,2291,2337,46
5,2384,2143,-241
5,2189,2077,-112
5,2123,1522,-601
5,1557,1665,108
5,1699,2237,538
5,2282,2127,-155
5,2173,2045,-128
5,2088,1459,-629
5,1495,2284,789
5,2332,2377,45
5,2424,2029,-395
5,2075,2375,300
5,2421,2020,-401
5,2065,1908,-157
5,1926,1777,-149
5,1811,1857,46
5,1890,2073,183
5,2121,2048,-73
5,2096,1849,-247
5,1883,1794,-89
5,1825,1500,-325
5,1534,1992,458
5,2038,1841,-197
5,1877,2173,296
5,2220,1571,-649
5,1607,2218,611
5,2264,2016,-248
5,2063,2051,-12
5,2098,2144,46
5,2193,2182,-11
5,2228,1885,-343
5,1919,1875,-44
5,1907,2055,148
5,2104,1630,-474
5,1664,1714,50
5,1751,1916,165
5,1938,1843,-95
5,1879,1669,-210
5,1703,1867,164
5,1903,2365,462
5,2413,1916,-497
5,1936,2139,203
5,2183,1855,-328
5,1891,1734,-157
5,1767,2130,363
5,2180,2068,-112
5,2113,2024,-89
5,2071,1556,-515
5,1592,1905,313
5,1925,1899,-26
5,1920,1970,50
5,2017,2120,103
5,2166,2028,-138
5,2076,1771,-305
5,1804,2072,268
5,2118,1714,-404
5,1748,1762,14
5,1795,1984,189
5,2030,2156,126
5,2204,1646,-558
5,1680,1807,127
5,1841,1750,-91
