voltage,temp,rel time,abs time
+9.03248914E+00,34.321289,202.415,2022-07-03 21:03:57.591693
+9.03248942E+00,34.321289,203.577,2022-07-03 21:03:58.754329
+9.03248978E+00,33.596191,204.741,2022-07-03 21:03:59.917883
+9.03249120E+00,34.240723,205.903,2022-07-03 21:04:01.079809
+9.03249081E+00,34.321289,207.065,2022-07-03 21:04:02.242306
+9.03249103E+00,34.160156,208.228,2022-07-03 21:04:03.404700
+9.03248952E+00,34.160156,209.39,2022-07-03 21:04:04.567145
+9.03248937E+00,34.160156,210.551,2022-07-03 21:04:05.728412
+9.03248937E+00,34.160156,211.714,2022-07-03 21:04:06.891185
+9.03249115E+00,34.240723,212.879,2022-07-03 21:04:08.056261
+9.03249155E+00,33.918457,214.049,2022-07-03 21:04:09.225884
+9.03249093E+00,34.160156,215.211,2022-07-03 21:04:10.388440
+9.03249156E+00,34.240723,216.376,2022-07-03 21:04:11.552477
+9.03249160E+00,34.321289,217.546,2022-07-03 21:04:12.723309
+9.03249165E+00,34.160156,218.711,2022-07-03 21:04:13.887529
+9.03249243E+00,34.885254,219.882,2022-07-03 21:04:15.058752
+9.03249274E+00,33.999023,221.043,2022-07-03 21:04:16.220019
+9.03249421E+00,34.160156,222.207,2022-07-03 21:04:17.384375
+9.03249172E+00,33.837891,223.369,2022-07-03 21:04:18.546008
+9.03249261E+00,34.160156,224.532,2022-07-03 21:04:19.708859
+9.03249410E+00,34.321289,225.694,2022-07-03 21:04:20.871221
+9.03249481E+00,34.160156,226.857,2022-07-03 21:04:22.033740
+9.03249544E+00,34.240723,228.02,2022-07-03 21:04:23.197350
+9.03249547E+00,34.240723,229.181,2022-07-03 21:04:24.358287
+9.03249351E+00,34.401855,230.344,2022-07-03 21:04:25.520793
+9.03249405E+00,34.240723,231.506,2022-07-03 21:04:26.682528
+9.03249316E+00,34.240723,232.668,2022-07-03 21:04:27.844951
+9.03249454E+00,34.321289,233.831,2022-07-03 21:04:29.007538
+9.03249526E+00,34.240723,234.993,2022-07-03 21:04:30.169452
+9.03249521E+00,33.999023,236.156,2022-07-03 21:04:31.332685
+9.03249574E+00,33.999023,237.318,2022-07-03 21:04:32.494669
+9.03249588E+00,33.837891,238.481,2022-07-03 21:04:33.657650
+9.03249526E+00,34.160156,239.643,2022-07-03 21:04:34.819934
+9.03249535E+00,34.240723,240.806,2022-07-03 21:04:35.982500
+9.03249586E+00,34.240723,241.97,2022-07-03 21:04:37.147093
+9.03249742E+00,34.240723,243.141,2022-07-03 21:04:38.317785
+9.03249604E+00,34.240723,244.303,2022-07-03 21:04:39.480104
+9.03249771E+00,34.482422,245.465,2022-07-03 21:04:40.641812
+9.03249700E+00,34.160156,246.627,2022-07-03 21:04:41.804284
+9.03249620E+00,34.321289,247.791,2022-07-03 21:04:42.967581
+9.03249648E+00,34.240723,248.954,2022-07-03 21:04:44.130986
+9.03249648E+00,34.240723,250.121,2022-07-03 21:04:45.297566
+9.03249742E+00,34.160156,251.289,2022-07-03 21:04:46.465665
+9.03249755E+00,34.240723,252.451,2022-07-03 21:04:47.627852
+9.03249733E+00,34.240723,253.615,2022-07-03 21:04:48.791941
+9.03249641E+00,34.160156,254.785,2022-07-03 21:04:49.961853
+9.03249713E+00,34.321289,255.947,2022-07-03 21:04:51.124276
+9.03249762E+00,34.240723,257.11,2022-07-03 21:04:52.287299
+9.03249777E+00,34.321289,258.273,2022-07-03 21:04:53.450387
+9.03249928E+00,34.321289,259.447,2022-07-03 21:04:54.623665
+9.03249813E+00,34.240723,260.617,2022-07-03 21:04:55.794380
+9.03249785E+00,33.676758,261.779,2022-07-03 21:04:56.956252
+9.03249905E+00,34.321289,262.943,2022-07-03 21:04:58.119995
+9.03249653E+00,34.079590,264.105,2022-07-03 21:04:59.281427
+9.03249863E+00,34.321289,265.268,2022-07-03 21:05:00.445191
+9.03249992E+00,34.079590,266.44,2022-07-03 21:05:01.617122
+9.03249864E+00,34.240723,267.603,2022-07-03 21:05:02.779855
+9.03249828E+00,34.160156,268.765,2022-07-03 21:05:03.941950
+9.03249962E+00,33.918457,269.927,2022-07-03 21:05:05.103705
+9.03249842E+00,33.676758,271.09,2022-07-03 21:05:06.266768
+9.03249838E+00,34.804688,272.255,2022-07-03 21:05:07.431488
+9.03249882E+00,33.837891,273.425,2022-07-03 21:05:08.602371
+9.03249831E+00,34.160156,274.587,2022-07-03 21:05:09.763478
+9.03249866E+00,34.160156,275.749,2022-07-03 21:05:10.925901
+9.03249764E+00,34.401855,276.911,2022-07-03 21:05:12.088287
+9.03249818E+00,33.837891,278.074,2022-07-03 21:05:13.250766
+9.03249907E+00,34.240723,279.238,2022-07-03 21:05:14.414723
+9.03249933E+00,34.240723,280.399,2022-07-03 21:05:15.575776
+9.03250124E+00,34.160156,281.561,2022-07-03 21:05:16.738182
+9.03250004E+00,34.079590,282.724,2022-07-03 21:05:17.900962
+9.03249906E+00,34.240723,283.887,2022-07-03 21:05:19.063491
+9.03249933E+00,33.837891,285.049,2022-07-03 21:05:20.226160
+9.03249915E+00,34.160156,286.212,2022-07-03 21:05:21.388878
+9.03249890E+00,34.160156,287.374,2022-07-03 21:05:22.551266
+9.03249757E+00,34.240723,288.537,2022-07-03 21:05:23.714170
+9.03249874E+00,33.999023,289.699,2022-07-03 21:05:24.875860
+9.03249928E+00,34.240723,290.861,2022-07-03 21:05:26.038390
+9.03250102E+00,34.240723,292.024,2022-07-03 21:05:27.200711
+9.03250041E+00,34.160156,293.187,2022-07-03 21:05:28.364069
+9.03250112E+00,34.240723,294.35,2022-07-03 21:05:29.526841
+9.03250112E+00,34.240723,295.511,2022-07-03 21:05:30.687768
+9.03249911E+00,34.160156,296.674,2022-07-03 21:05:31.850958
