pwmcount, residuebefore, residueafter,diff,voltbefore,voltafter,voltdiff 
5,2232,1721,511,1.798,1.386,0.412
5,2203,2038,165,1.775,1.642,0.133
,,,0,0.000,0.000,0.000
5,1992,2048,-56,1.605,1.650,-0.045
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,2151,1799,352,1.733,1.449,0.284
5,2120,1825,295,1.708,1.470,0.238
5,1855,1760,95,1.494,1.418,0.077
5,2037,1977,60,1.641,1.593,0.048
5,2058,1659,399,1.658,1.336,0.321
,,,0,0.000,0.000,0.000
5,1511,2232,-721,1.217,1.798,-0.581
5,2218,1960,258,1.787,1.579,0.208
5,1991,1896,95,1.604,1.527,0.077
5,1809,2070,-261,1.457,1.668,-0.210
5,2249,2087,162,1.812,1.681,0.131
5,2123,2012,111,1.710,1.621,0.089
5,2248,2237,11,1.811,1.802,0.009
5,2156,1795,361,1.737,1.446,0.291
5,2019,1961,58,1.626,1.580,0.047
5,1987,1518,469,1.601,1.223,0.378
5,1640,2150,-510,1.321,1.732,-0.411
5,1694,1790,-96,1.365,1.442,-0.077
5,1837,1972,-135,1.480,1.589,-0.109
,,,0,0.000,0.000,0.000
5,1755,2112,-357,1.414,1.701,-0.288
,,,0,0.000,0.000,0.000
5,1780,1877,-97,1.434,1.512,-0.078
5,1925,1791,134,1.551,1.443,0.108
,,,0,0.000,0.000,0.000
5,1879,1980,-101,1.514,1.595,-0.081
,,,0,0.000,0.000,0.000
5,2040,2134,-94,1.643,1.719,-0.076
5,2214,1658,556,1.784,1.336,0.448
5,2349,1680,669,1.892,1.353,0.539
5,1631,2133,-502,1.314,1.718,-0.404
5,1800,1749,51,1.450,1.409,0.041
5,2172,1501,671,1.750,1.209,0.541
,,,0,0.000,0.000,0.000
5,1612,2214,-602,1.299,1.784,-0.485
5,2284,2320,-36,1.840,1.869,-0.029
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,2054,2002,52,1.655,1.613,0.042
,,,0,0.000,0.000,0.000
5,1862,2276,-414,1.500,1.834,-0.334
,,,0,0.000,0.000,0.000
5,2232,1968,264,1.798,1.585,0.213
5,1854,2000,-146,1.494,1.611,-0.118
5,1921,1915,6,1.548,1.543,0.005
5,2210,2247,-37,1.780,1.810,-0.030
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,2218,1739,479,1.787,1.401,0.386
,,,0,0.000,0.000,0.000
5,1808,1490,318,1.456,1.200,0.256
,,,0,0.000,0.000,0.000
5,1767,1562,205,1.423,1.258,0.165
5,2148,1900,248,1.730,1.531,0.200
,,,0,0.000,0.000,0.000
5,1795,1802,-7,1.446,1.452,-0.006
,,,0,0.000,0.000,0.000
5,2412,2036,376,1.943,1.640,0.303
,,,0,0.000,0.000,0.000
5,1692,1495,197,1.363,1.204,0.159
5,2136,1475,661,1.721,1.188,0.532
5,1490,1758,-268,1.200,1.416,-0.216
5,2438,1955,483,1.964,1.575,0.389
5,1723,1676,47,1.388,1.350,0.038
5,1795,2038,-243,1.446,1.642,-0.196
5,2420,2305,115,1.950,1.857,0.093
5,2062,1537,525,1.661,1.238,0.423
,,,0,0.000,0.000,0.000
5,2010,1752,258,1.619,1.411,0.208
5,1763,1866,-103,1.420,1.503,-0.083
5,1827,2221,-394,1.472,1.789,-0.317
5,1782,1569,213,1.436,1.264,0.172
,,,0,0.000,0.000,0.000
5,1807,1656,151,1.456,1.334,0.122
5,1891,1791,100,1.523,1.443,0.081
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1812,1919,-107,1.460,1.546,-0.086
,,,0,0.000,0.000,0.000
5,1642,2301,-659,1.323,1.854,-0.531
5,1753,2001,-248,1.412,1.612,-0.200
,,,0,0.000,0.000,0.000
5,1565,1871,-306,1.261,1.507,-0.247
5,2384,2104,280,1.921,1.695,0.226
5,2069,2208,-139,1.667,1.779,-0.112
5,2065,1754,311,1.664,1.413,0.251
5,2197,2238,-41,1.770,1.803,-0.033
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1976,1459,517,1.592,1.175,0.416
5,1796,1746,50,1.447,1.407,0.040
5,2079,2232,-153,1.675,1.798,-0.123
5,2058,1866,192,1.658,1.503,0.155
5,1928,1848,80,1.553,1.489,0.064
5,1662,1921,-259,1.339,1.548,-0.209
5,2048,1924,124,1.650,1.550,0.100
,,,0,0.000,0.000,0.000
5,1615,2337,-722,1.301,1.883,-0.582
5,2272,1820,452,1.830,1.466,0.364
5,1787,2093,-306,1.440,1.686,-0.247
5,2285,1821,464,1.841,1.467,0.374
5,1840,2144,-304,1.482,1.727,-0.245
5,1594,1743,-149,1.284,1.404,-0.120
5,1899,2037,-138,1.530,1.641,-0.111
5,1756,2152,-396,1.415,1.734,-0.319
,,,0,0.000,0.000,0.000
5,2136,1867,269,1.721,1.504,0.217
,,,0,0.000,0.000,0.000
5,1805,1904,-99,1.454,1.534,-0.080
5,2015,2049,-34,1.623,1.651,-0.027
5,2388,2312,76,1.924,1.863,0.061
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,2291,1659,632,1.846,1.336,0.509
,,,0,0.000,0.000,0.000
5,1664,1717,-53,1.340,1.383,-0.043
5,2243,2174,69,1.807,1.751,0.056
5,1834,1880,-46,1.477,1.515,-0.037
,,,0,0.000,0.000,0.000
5,2312,2032,280,1.863,1.637,0.226
5,2312,1675,637,1.863,1.349,0.513
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1717,1919,-202,1.383,1.546,-0.163
5,2148,2257,-109,1.730,1.818,-0.088
5,2126,2004,122,1.713,1.614,0.098
5,1975,1925,50,1.591,1.551,0.040
5,1587,1597,-10,1.278,1.287,-0.008
,,,0,0.000,0.000,0.000
5,2124,1957,167,1.711,1.577,0.135
5,2189,2022,167,1.763,1.629,0.135
,,,0,0.000,0.000,0.000
5,1838,1481,357,1.481,1.193,0.288
5,2227,1809,418,1.794,1.457,0.337
5,1928,1931,-3,1.553,1.556,-0.002
5,1907,2265,-358,1.536,1.825,-0.288
5,1521,2190,-669,1.225,1.764,-0.539
,,,0,0.000,0.000,0.000
5,1673,2339,-666,1.348,1.884,-0.537
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1889,1901,-12,1.522,1.531,-0.010
5,2163,2206,-43,1.742,1.777,-0.035
5,2331,2209,122,1.878,1.780,0.098
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
,,,0,0.000,0.000,0.000
5,1836,2230,-394,1.479,1.796,-0.317
5,1835,1970,-135,1.478,1.587,-0.109
5,2061,1942,119,1.660,1.564,0.096
5,1988,2014,-26,1.602,1.622,-0.021
5,2073,1856,217,1.670,1.495,0.175
5,2170,1896,274,1.748,1.527,0.221
5,1900,2192,-292,1.531,1.766,-0.235
